CREATION_DATE,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE
2021-06-08T18:36:59,HITCH HIKER 1,1963-025B,2021-06-08T09:54:13.015296,14.65694511,0.0529533,81.9794,124.4232,195.3485,163.1122,0,U,614,999,64930,0.000093851,0.00005204,-7.10E-07,7052.983,98.247,1048.327,301.37,PAYLOAD,MEDIUM,US,6/27/1963
2021-06-08T18:36:59,TRANSIT 5B-1,1963-038B,2021-06-08T12:21:35.525664,13.44352791,0.0039513,90.0297,333.2397,244.4413,115.2647,0,U,670,999,82780,0.000045042,0.00000035,0,7471.245,107.115,1122.632,1063.589,PAYLOAD,MEDIUM,US,9/28/1963
2021-06-08T18:36:59,RADIATION SAT (5E 1),1963-038C,2021-06-08T11:38:08.048832,13.44871791,0.0039458,90.0306,333.1826,203.731,156.2019,0,U,671,999,82853,0.00004021,0.00000033,0,7469.323,107.073,1120.661,1061.716,PAYLOAD,LARGE,US,9/28/1963
2021-06-08T22:36:11,TRANSIT 5B-2,1963-049B,2021-06-08T20:46:01.991712,13.46864794,0.0035001,89.9064,86.9936,168.1299,258.4248,0,U,704,999,82493,0.000014387,0.00000018,0,7461.953,106.915,1109.936,1057.7,PAYLOAD,LARGE,US,12/5/1963
2021-06-08T18:36:59,TRANSIT 5E 3,1963-049C,2021-06-08T09:16:55.754688,13.47360283,0.003536,89.9066,86.9341,130.9862,353.5173,0,U,705,999,82502,0.000018866,0.00000021,0,7460.123,106.876,1108.367,1055.609,PAYLOAD,LARGE,US,12/5/1963
2021-06-08T18:36:59,TIROS 8,1963-054A,2021-06-08T11:00:03.946464,14.69600695,0.002919,58.4958,330.936,63.296,297.1061,0,U,716,999,4575,0.000015666,-0.00000092,0,7040.48,97.986,682.896,641.794,PAYLOAD,MEDIUM,US,12/21/1963
2021-06-08T18:36:59,GGSE 1 (GGRS),1964-001B,2021-06-08T11:57:46.554336,13.97191358,0.0014252,69.9063,192.6231,200.7878,159.265,0,U,728,999,92335,0.00003836,0,0,7281.674,103.064,913.917,893.161,PAYLOAD,MEDIUM,US,1/11/1964
2021-06-08T14:26:12,SECOR 1B,1964-001C,2021-06-08T12:18:21.734784,13.94919899,0.0016711,69.9014,267.3593,269.1867,90.7323,0,U,729,999,92138,0.000013059,-0.00000036,0,7289.577,103.232,923.624,899.26,PAYLOAD,MEDIUM,US,1/11/1964
2021-06-08T18:36:59,SOLRAD 7A,1964-001D,2021-06-08T12:06:26.991648,13.95647572,0.0015928,69.9067,255.5078,235.4987,213.3323,0,U,730,999,80464,0.000023212,-0.00000022,0,7287.043,103.178,920.515,897.301,PAYLOAD,MEDIUM,US,1/11/1964
2021-06-08T18:36:59,GREB,1964-001E,2021-06-08T12:10:49.803168,13.95871766,0.0015866,69.9064,247.2844,232.1587,127.8082,0,U,731,999,92152,0.000018811,-0.00000028,0,7286.263,103.161,919.688,896.567,PAYLOAD,MEDIUM,US,1/11/1964
2021-06-08T18:36:59,OPS 3367 A,1964-002B,2021-06-08T11:42:54.579744,14.28901889,0.0015597,99.126,358.7959,100.9836,259.3099,0,U,734,999,98670,0.000018368,-0.00000002,0,7173.541,100.777,806.594,784.217,PAYLOAD,MEDIUM,US,1/19/1964
2021-06-08T18:36:59,OPS 3367 B,1964-002C,2021-06-08T11:03:04.118112,14.27853591,0.0016206,99.1418,352.7165,206.3541,153.6815,0,U,735,999,98486,0.000017521,-0.00000005,0,7177.051,100.851,810.548,787.285,PAYLOAD,MEDIUM,US,1/19/1964
2021-06-08T18:36:59,OPS 4412 (TRANSIT 9),1964-026A,2021-06-08T11:55:04.144800,14.14724327,0.0048416,90.5257,87.5241,181.2235,178.8841,0,U,801,999,92656,0.000059179,0.00000125,0,7221.387,101.787,878.215,808.289,PAYLOAD,LARGE,US,6/4/1964
2021-06-08T18:36:59,OPS 4467 A,1964-031A,2021-06-08T11:59:32.758080,14.23889158,0.0005489,99.775,79.0724,179.0599,181.0587,0,U,812,999,95514,0.000015013,-0.00000019,0,7190.367,101.131,816.179,808.285,PAYLOAD,MEDIUM,US,6/18/1964
2021-06-08T22:36:11,OPS 4467 B,1964-031B,2021-06-08T17:17:36.849696,14.23077422,0.000449,99.7843,77.6528,268.6984,91.3676,0,U,813,999,95445,8.15E-06,-0.00000035,0,7193.101,101.189,818.196,811.736,PAYLOAD,MEDIUM,US,6/18/1964
2021-06-08T18:36:59,EXPLORER 20,1964-051A,2021-06-08T08:26:58.363296,13.91180534,0.0098662,79.8974,114.354,63.5018,297.6214,0,U,870,999,87825,0.000014966,0.00000028,0,7302.634,103.509,996.548,852.449,PAYLOAD,MEDIUM,US,8/25/1964
2021-06-08T18:36:59,COSMOS 44,1964-053A,2021-06-08T11:41:41.532864,14.63797919,0.0155977,65.0603,337.1201,262.6936,95.6415,0,U,876,999,1998,7.04E-06,-0.00000101,0,7059.074,98.374,791.045,570.834,PAYLOAD,LARGE,CIS,8/28/1964
2021-06-08T22:36:11,OPS 5798 (TRANSIT 5B-4),1964-063B,2021-06-08T17:51:10.511424,13.53463259,0.0021431,90.1754,37.0004,107.801,322.3032,0,U,897,999,79754,0.000081407,0.00000064,0,7437.681,106.394,1075.485,1043.606,PAYLOAD,MEDIUM,US,10/6/1964
2021-06-08T18:36:59,EXPLORER 22,1964-064A,2021-06-08T12:19:22.875744,13.82177108,0.0120537,79.6899,333.0081,238.9792,119.9478,0,U,899,999,85144,0.000055298,0.00000069,0,7334.312,104.183,1044.583,867.771,PAYLOAD,LARGE,US,10/10/1964
2021-06-08T18:36:59,CALSPHERE 1,1964-063C,2021-06-08T11:39:33.832800,13.73541298,0.0029806,90.1639,34.3076,66.8455,9.0688,0,U,900,999,81932,0.00025524,0.00000248,0,7365.022,104.838,1008.839,964.934,PAYLOAD,SMALL,US,10/6/1964
2021-06-08T22:26:11,CALSPHERE 2,1964-063E,2021-06-08T21:28:31.665216,13.52696133,0.00193,90.1762,37.1522,146.8233,226.6723,0,U,902,999,60872,0.000014838,0.00000019,0,7440.492,106.454,1076.718,1047.997,PAYLOAD,SMALL,US,10/6/1964
2021-06-08T18:36:59,EXPLORER 25 (INJUN-4),1964-076B,2021-06-08T11:43:29.005824,12.64077277,0.1132541,81.3414,346.221,97.5971,275.4975,0,U,932,999,58708,0.000035987,0.00000128,0,7784.297,113.917,2287.766,524.559,PAYLOAD,MEDIUM,US,11/21/1964
2021-06-08T18:36:59,OPS 6582 (TRANSIT 5E-5),1964-083C,2021-06-08T08:08:26.670912,13.61671095,0.0040554,89.9913,187.3031,320.0586,50.712,0,U,959,999,80044,0.000078927,0.0000007,0,7407.762,105.752,1059.669,999.586,PAYLOAD,LARGE,US,12/13/1964
2021-06-08T18:36:59,EXPLORER 26 (EPE-D),1964-086A,2021-06-08T12:12:04.790592,15.47597925,0.0289494,19.6999,105.7898,65.1225,297.901,0,U,963,999,24786,0.0008546,0.00290109,2.28E-06,6801.892,93.047,620.668,226.847,PAYLOAD,MEDIUM,US,12/21/1964
2021-06-08T14:26:12,OPS 6582 (TRANSIT 5B-5),1964-083D,2021-06-08T12:28:09.988320,13.56756622,0.0039007,90.0201,194.4117,240.6726,239.8459,0,U,965,999,79538,0.000063169,0.00000054,0,7425.64,106.135,1076.47,1018.54,PAYLOAD,MEDIUM,US,12/13/1964
2021-06-08T18:36:59,TIROS 9,1965-004A,2021-06-08T08:53:08.468160,12.10900259,0.1159865,96.411,95.736,41.4342,326.9051,0,U,978,999,48952,0.000023086,0.00000009,0,8010.561,118.92,2561.543,703.309,PAYLOAD,MEDIUM,US,1/22/1965
2021-06-08T18:36:59,SECOR 3,1965-016E,2021-06-08T07:58:49.156032,13.9561738,0.0021326,70.0782,130.4743,331.4302,99.7344,0,U,1208,999,86317,0.000013474,-0.00000034,0,7287.148,103.18,924.554,893.473,PAYLOAD,MEDIUM,US,3/9/1965
2021-06-08T18:36:59,GGSE 2,1965-016B,2021-06-08T07:59:09.590496,13.9567358,0.0021963,70.0778,133.1942,334.7737,25.2294,0,U,1244,999,86206,0.000014989,-0.00000032,0,7286.952,103.176,924.822,892.813,PAYLOAD,MEDIUM,US,3/9/1965
2021-06-08T18:36:59,OPS 4988 (GREB 6),1965-016A,2021-06-08T07:57:03.635712,13.9615732,0.0022408,70.0793,108.112,318.6859,157.7012,0,U,1271,999,86270,8.07E-06,-0.00000041,0,7285.269,103.14,923.459,890.809,PAYLOAD,MEDIUM,US,3/9/1965
2021-06-08T18:36:59,PORCUPINE 1,1965-016H,2021-06-08T11:47:51.946944,13.94233322,0.0022058,70.0782,186.1697,1.9526,358.1661,0,U,1272,999,86065,0.000029793,-0.00000012,0,7291.97,103.283,929.92,897.75,PAYLOAD,MEDIUM,US,3/9/1965
2021-06-08T18:36:59,SOLRAD 7B,1965-016D,2021-06-08T11:45:49.362624,13.94611374,0.0020886,70.0774,175.5288,1.7281,358.3892,0,U,1291,999,86091,0.000028291,-0.00000014,0,7290.652,103.255,927.744,897.29,PAYLOAD,MEDIUM,US,3/9/1965
2021-06-08T18:36:59,GGSE 3,1965-016C,2021-06-08T11:21:04.804128,14.00648548,0.0021448,70.0776,292.3845,225.989,133.9452,0,U,1292,999,86757,0.000028801,-0.0000001,0,7269.687,102.81,907.144,875.96,PAYLOAD,MEDIUM,US,3/9/1965
2021-06-08T18:36:59,OSCAR 3,1965-016F,2021-06-08T11:39:49.617216,14.06485281,0.0015666,70.0758,61.8166,85.8401,274.4501,0,U,1293,999,87402,0.00014316,0.00000183,0,7249.561,102.383,882.783,860.069,PAYLOAD,MEDIUM,US,3/9/1965
