time (yyyy-MM-dd),Ra
2020-08-01,5.3
2020-09-01,0.4
2020-10-01,9.9
2020-11-01,21.2
2020-12-01,15.4
2021-01-01,7
2021-02-01,5.8
2021-03-01,11
2021-04-01,18.5
2021-05-01,15.9
2021-06-01,19.9
2021-07-01,23.8
2021-08-01,15.7
2021-09-01,39.1
2021-10-01,27.1
2021-11-01,27.2
2021-12-01,50.6
2022-01-01,43.9
2022-02-01,48.8
2022-03-01,58.4
