Date,"N2, cm-3 (100 km)","N2, cm-3 (150 km)","N2, cm-3 (200 km)","N2, cm-3 (250 km)","N2, cm-3 (300 km)","N2, cm-3 (350 km)","N2, cm-3 (400 km)","N2, cm-3 (450 km)","N2, cm-3 (500 km)","N2, cm-3 (550 km)","N2, cm-3 (600 km)","N2, cm-3 (650 km)","N2, cm-3 (700 km)","N2, cm-3 (750 km)","N2, cm-3 (800 km)","N2, cm-3 (850 km)","N2, cm-3 (900 km)","N2, cm-3 (950 km)","N2, cm-3 (1000 km)"
01/06/2010,7276000000000,32260000000,2791000000,371000000,56330000,9069000,1515000,260500,46020,8337,1548,294.5,57.36,11.43,2.33,0.4855,0.1034,0.02248,0.004991
01/07/2010,6325000000000,30480000000,2674000000,353400000,52860000,8351000,1367000,230200,39840,7072,1287,240,45.84,8.96,1.792,0.3664,0.07658,0.01635,0.003565
01/08/2010,6927000000000,28720000000,2360000000,286500000,38850000,5538000,816900,124100,19390,3112,512.7,86.68,15.03,2.67,0.4861,0.0906,0.01728,0.003372,0.0006727
01/09/2010,8442000000000,29480000000,2331000000,270200000,34750000,4686000,653600,93930,13890,2112,329.8,52.9,8.707,1.47,0.2544,0.04511,0.008193,0.001523,0.0002896
01/10/2010,10110000000000,28430000000,2120000000,232400000,28170000,3577000,469800,63620,8873,1273,187.9,28.49,4.437,0.7093,0.1163,0.01956,0.003372,0.0005953,0.0001076
01/11/2010,10040000000000,26540000000,1902000000,189700000,20520000,2312000,269400,32410,4022,514.4,67.75,9.187,1.281,0.1837,0.02707,0.004096,0.000636,0.0001013,0.00001655
01/12/2010,9042000000000,23250000000,1572000000,139000000,13090000,1282000,129900,13630,1476,165.2,19.08,2.272,0.2788,0.03524,0.004584,0.0006135,0.00008441,0.00001193,0.000001732
01/01/2011,8330000000000,21620000000,1476000000,128800000,11920000,1145000,114000,11740,1249,137.3,15.58,1.824,0.2201,0.02735,0.0035,0.0004609,0.0000624,0.000008683,0.000001241
01/02/2011,12300000000000,25290000000,2024000000,242200000,31940000,4399000,625700,91650,13810,2139,340.2,55.58,9.315,1.601,0.2821,0.05091,0.009408,0.001779,0.0003443
01/03/2011,10950000000000,23080000000,1902000000,220300000,27640000,3609000,486300,67510,9648,1418,214.4,33.29,5.307,0.8684,0.1457,0.02508,0.004421,0.0007981,0.0001475
01/04/2011,9957000000000,26630000000,2537000000,371200000,60520000,10330000,1818000,328700,60950,11580,2254,449.2,91.58,19.1,4.07,0.8863,0.1971,0.04476,0.01037
01/05/2011,9051000000000,26020000000,2483000000,364500000,59770000,10270000,1819000,331100,61800,11820,2316,464.3,95.26,19.98,4.285,0.9388,0.21,0.04797,0.01118
01/06/2011,8673000000000,23410000000,2194000000,309000000,48170000,7849000,1319000,227700,40350,7331,1365,260.5,50.87,10.17,2.079,0.4345,0.09279,0.02024,0.004508
01/07/2011,8014000000000,21940000000,1988000000,257200000,36210000,5302000,800400,124300,19840,3251,547,94.4,16.71,3.029,0.5626,0.107,0.02081,0.00414,0.000842
01/08/2011,8518000000000,22330000000,2081000000,284500000,42680000,6673000,1075000,178200,30310,5290,946.8,173.7,32.64,6.281,1.237,0.2491,0.0513,0.0108,0.002321
01/09/2011,9355000000000,25000000000,2331000000,318500000,47620000,7411000,1189000,196000,33170,5763,1027,187.5,35.07,6.719,1.317,0.2641,0.05416,0.01135,0.00243
01/10/2011,9145000000000,29190000000,3122000000,527900000,100600000,20120000,4148000,877000,189800,42000,9498,2194,517.6,124.6,30.61,7.666,1.957,0.5091,0.1349
01/11/2011,9553000000000,30050000000,3342000000,591200000,118200000,24810000,5370000,1191000,270200,62660,14840,3587,884.8,222.6,57.1,14.93,3.975,1.078,0.2976
01/12/2011,10580000000000,27310000000,2989000000,510300000,97670000,19580000,4044000,856100,185500,41100,9305,2152,508.3,122.5,30.12,7.552,1.93,0.5026,0.1333
01/01/2012,12890000000000,26730000000,2611000000,407200000,71570000,13210000,2516000,491800,98480,20190,4236,908.7,199.2,44.63,10.21,2.384,0.568,0.138,0.03419
01/02/2012,10770000000000,24240000000,2394000000,350200000,56310000,9436000,1629000,288700,52500,9785,1869,365.4,73.14,14.97,3.135,0.6706,0.1466,0.03271,0.00745
01/03/2012,9964000000000,25730000000,2474000000,356600000,56810000,9449000,1620000,285200,51520,9543,1811,351.9,70.01,14.25,2.965,0.6306,0.137,0.03041,0.006887
01/04/2012,10370000000000,26400000000,2481000000,353300000,55710000,9177000,1558000,271900,48680,8935,1681,323.8,63.87,12.89,2.66,0.5611,0.121,0.02663,0.005983
01/05/2012,9957000000000,25660000000,2460000000,357700000,57610000,9692000,1680000,299200,54660,10240,1964,385.7,77.53,15.94,3.352,0.7201,0.158,0.03541,0.008098
01/06/2012,8940000000000,24030000000,2457000000,377600000,64070000,11340000,2067000,386600,74130,14560,2927,602.3,126.7,27.26,5.991,1.345,0.3081,0.07205,0.01718
01/07/2012,7825000000000,23070000000,2470000000,400000000,71830000,13470000,2599000,514600,104300,21660,4598,998,221.4,50.17,11.61,2.741,0.6602,0.1622,0.04061
01/08/2012,8597000000000,23020000000,2361000000,365200000,62510000,11170000,2056000,388400,75200,14910,3026,628.5,133.5,28.97,6.423,1.454,0.3362,0.07928,0.01907
01/09/2012,9136000000000,25450000000,2501000000,373400000,61840000,10700000,1908000,349400,65610,12620,2487,501.5,103.5,21.82,4.705,1.036,0.2331,0.0535,0.01253
01/10/2012,8664000000000,29150000000,3044000000,507800000,96070000,19140000,3935000,830000,179200,39570,8931,2059,484.8,116.5,28.56,7.138,1.819,0.4722,0.1249
01/11/2012,9477000000000,28990000000,2909000000,451200000,78210000,14200000,2658000,510600,100500,20270,4181,882.3,190.4,41.97,9.451,2.173,0.5098,0.122,0.02978
01/12/2012,10790000000000,26220000000,2570000000,377800000,61290000,10380000,1810000,324200,59560,11220,2164,427.3,86.36,17.85,3.773,0.8148,0.1797,0.04048,0.009303
01/01/2013,11230000000000,23880000000,2263000000,313500000,47530000,7504000,1221000,204100,35020,6167,1113,206,39.05,7.576,1.504,0.3054,0.0634,0.01345,0.002913
01/02/2013,10880000000000,23870000000,2231000000,301600000,44480000,6826000,1079000,175500,29290,5020,882.4,159,39.05,7.576,1.504,0.3054,0.0634,0.01345,0.002913
01/03/2013,9436000000000,26090000000,2587000000,391200000,65890000,11610000,2109000,393400,75230,14740,2955,606.4,127.3,27.31,5.987,1.341,0.3065,0.07149,0.01701
01/04/2013,10470000000000,26520000000,2536000000,368100000,59200000,9945000,1722000,306300,55870,10450,2002,392.7,78.85,16.19,3.4,0.7297,0.16,0.0358,0.008178
01/05/2013,8678000000000,27210000000,2927000000,509300000,101200000,21230000,4597000,1021000,232100,53900,12790,3096,765.1,192.8,49.55,12.97,3.461,0.94,0.2599
01/06/2013,7436000000000,25160000000,2669000000,433100000,78340000,14820000,2890000,577900,118300,24800,5317,1165,260.9,59.67,13.93,3.319,0.8067,0.1999,0.05048
01/07/2013,8401000000000,22160000000,2132000000,297100000,45170000,7143000,1164000,194800,33480,5904,1067,197.8,37.53,7.291,1.449,0.2946,0.06124,0.013,0.002821
01/08/2013,8636000000000,22530000000,2130000000,291100000,43380000,6722000,1073000,176100,29680,5134,910.6,165.6,30.85,5.884,1.149,0.2295,0.04686,0.009781,0.002086
01/09/2013,8796000000000,25290000000,2389000000,335100000,51730000,8325000,1381000,235400,41180,7390,1359,256.2,49.44,9.765,1.973,0.4076,0.08608,0.01857,0.00409
01/10/2013,9923000000000,27860000000,2649000000,377100000,59100000,9659000,1627000,281500,49980,9099,1698,324.5,63.51,12.72,2.604,0.5453,0.1167,0.0255,0.005689
01/11/2013,10510000000000,28930000000,3047000000,505000000,94040000,18370000,3697000,763300,161300,34880,7710,1742,401.8,94.63,22.75,5.576,1.394,0.3552,0.09219
01/12/2013,10330000000000,27740000000,3087000000,529900000,101400000,20300000,4181000,882800,190700,42140,9514,2195,516.9,124.3,30.47,7.62,1.942,0.5045,0.1335
01/01/2014,12200000000000,28080000000,3013000000,523700000,103300000,21410000,4578000,1004000,225000,51580,12080,2887,704.5,175.3,44.5,11.51,3.034,0.8144,0.2226
01/02/2014,13050000000000,27440000000,2922000000,506100000,99440000,20550000,4378000,956400,213700,48820,11390,2715,660.2,163.8,41.44,10.69,2.808,0.7514,0.2047
01/03/2014,12660000000000,28880000000,3049000000,534000000,107000000,22620000,4937000,1105000,252800,59130,14120,3444,856.7,217.3,56.21,14.81,3.976,1.087,0.3024
01/04/2014,12660000000000,28880000000,3049000000,534000000,107000000,22620000,4937000,1105000,252800,59130,14120,3444,856.7,217.3,56.21,14.81,3.976,1.087,0.3024
01/05/2014,11550000000000,28610000000,2785000000,439600000,78450000,14710000,2846000,565100,114900,23930,5095,1109,246.8,56.09,13.02,3.082,0.7445,0.1834,0.04604
01/06/2014,10860000000000,25940000000,2446000000,357400000,58010000,9841000,1721000,309000,56900,10740,2077,411.2,83.29,17.26,3.655,0.7912,0.1749,0.03948,0.009092
01/07/2014,10340000000000,24240000000,2370000000,369300000,64800000,11940000,2268000,442200,88350,18070,3783,809.7,177.1,39.6,9.039,2.106,0.5008,0.1214,0.03002
01/08/2014,9868000000000,25460000000,2585000000,425700000,79610000,15670000,3183000,663500,141600,30900,6894,1572,365.9,86.94,21.08,5.214,1.315,0.3378,0.08841
01/09/2014,10290000000000,28120000000,2719000000,421100000,73520000,13480000,2549000,494700,98410,20040,4177,890.2,193.9,43.17,9.814,2.278,0.5394,0.1303,0.03208
01/10/2014,11060000000000,31740000000,3295000000,575800000,115900000,24680000,5431000,1226000,283000,66750,16080,3954,991.7,253.7,66.13,17.57,4.752,1.309,0.367
01/11/2014,12090000000000,31860000000,3212000000,523900000,96540000,18680000,3726000,762600,159800,34260,7509,1682,385,89.95,21.45,5.218,1.294,0.3273,0.08433
01/12/2014,12300000000000,30580000000,3380000000,626800000,133800000,30240000,7056000,1687000,412500,103000,26220,6810,1803,486.3,133.6,37.38,10.64,3.083,0.9082
01/01/2015,10690000000000,25340000000,2784000000,462900000,85170000,16350000,3229000,653900,135600,28760,6239,1384,313.4,72.5,17.12,4.125,1.013,0.2539,0.0648
01/02/2015,11700000000000,27670000000,2890000000,496800000,97740000,20310000,4357000,958700,215900,49690,11680,2804,687,171.7,43.74,11.36,3.005,0.8096,0.2221
01/03/2015,11320000000000,28700000000,2817000000,450600000,81950000,15700000,3107000,630900,131200,27920,6077,1352,307.2,71.29,16.88,4.08,1.006,0.2526,0.06467
01/04/2015,12110000000000,28990000000,2732000000,421500000,73920000,13650000,2604000,509900,102300,21020,4419,949.8,208.7,46.83,10.73,2.511,0.5994,0.1459,0.03621
01/05/2015,11510000000000,27930000000,2528000000,362500000,58230000,9806000,1704000,304100,55690,10450,2010,395.8,79.75,16.44,3.464,0.7458,0.164,0.03684,0.008443
01/06/2015,10440000000000,25830000000,2359000000,332400000,52040000,8517000,1437000,249200,44350,8093,1513,289.9,56.85,11.41,2.341,0.4912,0.1053,0.02306,0.005155
01/07/2015,10160000000000,23700000000,2097000000,282300000,42050000,6541000,1050000,173100,29330,5100,909.2,166.2,31.11,5.963,1.17,0.2348,0.04817,0.0101,0.002164
01/08/2015,9818000000000,24370000000,2128000000,283400000,41820000,6450000,1026000,168000,28230,4870,861.7,156.3,29.04,5.526,1.076,0.2145,0.04369,0.009099,0.001936
01/09/2015,10820000000000,26250000000,2111000000,257500000,34690000,4882000,709500,106200,16330,2582,419.3,69.88,11.95,2.094,0.376,0.06917,0.01302,0.002509,0.0004944
01/10/2015,11100000000000,29750000000,2650000000,390000000,65660000,11680000,2148000,406200,78740,15640,3178,660.9,140.5,30.55,6.784,1.538,0.356,0.08407,0.02025
01/11/2015,11910000000000,30080000000,2675000000,389800000,64720000,11340000,2053000,382000,72910,14260,2854,584.7,122.5,26.24,5.744,1.284,0.2931,0.06826,0.01622
01/12/2015,11940000000000,28430000000,2535000000,357200000,56540000,9394000,1612000,284200,51410,9536,1812,352.7,70.27,14.32,2.984,0.6356,0.1383,0.03073,0.00697
01/01/2016,9610000000000,24770000000,2441000000,358900000,58300000,9891000,1729000,310400,57160,10790,2086,412.8,83.62,17.32,3.669,0.7939,0.1755,0.0396,0.00912
01/02/2016,12640000000000,25490000000,2167000000,283200000,41160000,6261000,983300,158800,26360,4489,784.4,140.5,25.8,4.852,0.9339,0.1839,0.03705,0.00763,0.001605
01/03/2016,12440000000000,26490000000,2141000000,265800000,36660000,5292000,789200,121100,19110,3098,515.4,88,15.4,2.764,0.508,0.0956,0.01841,0.003627,0.0007304
01/04/2016,12710000000000,26710000000,1994000000,226300000,28360000,3718000,503600,70310,10110,1494,227,35.44,5.68,0.9343,0.1576,0.02726,0.004829,0.0008762,0.0001627
01/05/2016,10710000000000,27130000000,2230000000,290900000,42720000,6594000,1052000,172700,29110,5038,894,162.6,30.31,5.786,1.13,0.2258,0.04614,0.009636,0.002056
01/06/2016,10630000000000,24210000000,1893000000,224000000,29310000,4009000,566700,82510,12360,1903,301,48.88,8.147,1.393,0.244,0.0438,0.008052,0.001515,0.0002916
01/07/2016,9947000000000,22830000000,1728000000,188600000,22420000,2776000,355300,46880,6372,891.6,128.3,19,2.889,0.4511,0.07231,0.01189,0.002004,0.0003463,0.00006127
01/08/2016,10420000000000,23030000000,1649000000,166900000,18280000,2083000,245500,29870,3748,484.6,64.54,8.848,1.248,0.1809,0.02694,0.00412,0.0006467,0.0001041,0.00001719
01/09/2016,9496000000000,27120000000,2253000000,294200000,43120000,6638000,1056000,172900,29060,5015,887.6,161,29.94,5.698,1.11,0.2213,0.0451,0.009395,0.001999
01/10/2016,10640000000000,29010000000,2254000000,272500000,36810000,5215000,763700,115200,17860,2846,465.7,78.2,13.47,2.378,0.4302,0.0797,0.01511,0.002932,0.0005817
01/11/2016,11810000000000,28740000000,2167000000,251900000,32590000,4420000,619700,89530,13310,2034,319.4,51.51,8.524,1.447,0.2518,0.04489,0.008198,0.001532,0.000293
01/12/2016,13170000000000,26000000000,1875000000,202400000,24070000,2995000,385300,51120,6987,983.1,142.3,21.17,3.236,0.508,0.08184,0.01352,0.002291,0.0003977,0.00007071
01/01/2017,12160000000000,24990000000,1872000000,206900000,25130000,3187000,417900,56500,7865,1127,166,25.14,3.91,0.6244,0.1023,0.01719,0.00296,0.0005223,0.00009435
01/02/2017,11400000000000,25310000000,1954000000,226500000,29030000,3894000,539800,77100,11330,1713,266,42.43,6.946,1.167,0.2009,0.03546,0.006409,0.001186,0.0002246
01/03/2017,11050000000000,26740000000,2097000000,254100000,34390000,4884000,716900,108400,16850,2691,441.3,74.27,12.82,2.269,0.4113,0.07637,0.01451,0.002822,0.0005609
01/04/2017,11440000000000,27230000000,2074000000,248100000,33320000,4700000,685900,103100,15940,2532,413,69.15,11.87,2.09,0.3771,0.06966,0.01317,0.002549,0.0005042
01/05/2017,11620000000000,25750000000,1840000000,198800000,23720000,2960000,382200,50890,6980,985.3,143.1,21.36,3.276,0.5159,0.08339,0.01382,0.002349,0.000409,0.00007294
01/06/2017,10540000000000,23920000000,1741000000,186900000,22000000,2705000,343900,45090,6091,847.1,121.2,17.83,2.696,0.4186,0.06671,0.01091,0.001829,0.0003142,0.00005529
01/07/2017,9575000000000,22820000000,1686000000,180000000,20950000,2543000,319000,41280,5505,755.8,106.8,15.52,2.318,0.3556,0.056,0.00905,0.0015,0.0002548,0.00004433
01/08/2017,10200000000000,23030000000,1651000000,168100000,18540000,2130000,253000,31030,3923,511.2,68.6,9.473,1.346,0.1965,0.02947,0.004539,0.0007174,0.0001163,0.00001932
01/09/2017,9951000000000,26320000000,2063000000,248800000,33400000,4697000,682800,102200,15740,2489,404.4,67.44,11.53,2.023,0.3635,0.0669,0.0126,0.002429,0.0004789
01/10/2017,9951000000000,26320000000,2063000000,248800000,33400000,4697000,682800,102200,15740,2489,404.4,67.44,11.53,2.023,0.3635,0.0669,0.0126,0.002429,0.0004789
01/11/2017,12740000000000,27640000000,1911000000,198200000,22650000,2707000,334700,42700,5616,760.6,106,15.2,2.241,0.3394,0.05278,0.008424,0.001379,0.0002314,0.00003978
01/12/2017,12540000000000,26340000000,1874000000,197900000,22980000,2790000,350200,45360,6054,831.9,117.6,17.11,2.557,0.3927,0.06189,0.01001,0.00166,0.0002822,0.00004915
01/01/2018,10390000000000,23080000000,1793000000,190700000,21820000,2596000,319200,40480,5291,712.3,98.72,14.07,2.063,0.3106,0.04803,0.007623,0.001241,0.0002071,0.00003543
01/02/2018,13050000000000,23870000000,1594000000,150300000,15350000,1633000,179900,20480,2407,291.8,36.47,4.695,0.6224,0.08489,0.01191,0.001716,0.0002541,0.00003862,0.000006022
01/03/2018,12720000000000,25030000000,1664000000,159500000,16650000,1813000,204500,23820,2864,355,45.36,5.968,0.8082,0.1126,0.01612,0.002372,0.0003584,0.00005558,0.000008839
01/04/2018,12420000000000,25920000000,1707000000,165500000,17560000,1948000,223600,26520,3245,409.3,53.19,7.118,0.9802,0.1388,0.0202,0.00302,0.0004635,0.00007299,0.00001179
01/05/2018,11920000000000,25170000000,1676000000,164200000,17620000,1975000,229200,27460,3394,432.5,56.77,7.671,1.067,0.1525,0.0224,0.00338,0.0005235,0.00008319,0.00001355
01/06/2018,9532000000000,24640000000,1877000000,216500000,27660000,3702000,512100,72990,10710,1615,250.3,39.86,6.513,1.092,0.1877,0.03307,0.005967,0.001102,0.0002084
01/07/2018,10450000000000,21920000000,1472000000,137700000,13910000,1464000,159400,17940,2084,249.8,30.88,3.933,0.5158,0.06961,0.009661,0.001378,0.000202,0.0000304,0.000004694
01/08/2018,10130000000000,22670000000,1525000000,143400000,14570000,1542000,168800,19110,2232,269.1,33.44,4.281,0.5644,0.07656,0.01068,0.001531,0.0002256,0.00003411,0.000005292
01/09/2018,10920000000000,24780000000,1603000000,146800000,14580000,1509000,161700,17910,2049,242,29.47,3.698,0.478,0.06359,0.008702,0.001224,0.000177,0.00002628,0.000004003
01/10/2018,11280000000000,27550000000,1857000000,185600000,20390000,2340000,278000,34100,4313,562.3,75.48,10.43,1.482,0.2164,0.03247,0.005003,0.000791,0.0001283,0.00002132
01/11/2018,12440000000000,27610000000,1853000000,184300000,20140000,2301000,272100,33220,4182,542.7,72.53,9.976,1.411,0.2053,0.03067,0.004706,0.0007409,0.0001197,0.00001981
01/12/2018,12620000000000,26150000000,1811000000,183800000,20440000,2374000,285400,35400,4529,596.9,81,11.31,1.624,0.2397,0.03634,0.005656,0.0009032,0.0001479,0.00002483
01/01/2019,10830000000000,22720000000,1678000000,165800000,17520000,1924000,218500,25630,3102,387.1,49.78,6.592,0.8983,0.1259,0.01814,0.002686,0.0004082,0.00006367,0.00001018
01/02/2019,11990000000000,24670000000,1783000000,188500000,21850000,2645000,331000,42740,5686,779.1,109.8,15.93,2.374,0.3635,0.05713,0.009214,0.001524,0.0002584,0.00004487
01/03/2019,11470000000000,26110000000,1900000000,206800000,24820000,3117000,404700,54190,7474,1061,154.9,23.25,3.584,0.5674,0.09216,0.01536,0.002622,0.0004589,0.00008222
01/04/2019,12170000000000,26250000000,1785000000,180200000,20000000,2319000,278200,34460,4401,579.2,78.48,10.94,1.569,0.2313,0.03501,0.005441,0.0008677,0.0001419,0.00002379
01/05/2019,10990000000000,26020000000,1835000000,194100000,22650000,2765000,349200,45480,6104,843.6,119.9,17.54,2.636,0.4068,0.06446,0.01048,0.001747,0.0002984,0.00005222
01/06/2019,10910000000000,23320000000,1572000000,152100000,16020000,1760000,200000,23480,2845,355.5,45.76,6.066,0.8276,0.1161,0.01675,0.002482,0.0003776,0.00005895,0.00000944
01/07/2019,9874000000000,22290000000,1531000000,148200000,15550000,1699000,192100,22440,2704,336.1,43.05,5.679,0.771,0.1077,0.01546,0.00228,0.0003452,0.00005365,0.000008552
01/08/2019,9973000000000,22710000000,1515000000,141000000,14160000,1482000,160500,17970,2077,247.8,30.48,3.863,0.5041,0.06771,0.009355,0.001328,0.0001938,0.00002903,0.000004463
01/09/2019,9075000000000,26430000000,1930000000,209600000,25080000,3139000,406100,54200,7450,1054,153.4,22.94,3.526,0.5565,0.09012,0.01497,0.002549,0.0004447,0.00007945
01/10/2019,11080000000000,27690000000,1880000000,189900000,21110000,2453000,295100,36630,4690,618.6,84.01,11.74,1.687,0.2492,0.03781,0.005889,0.000941,0.0001542,0.0000259
01/11/2019,12690000000000,27400000000,1824000000,180000000,19500000,2209000,259100,31370,3919,504.5,66.89,9.13,1.282,0.1851,0.02745,0.004181,0.0006536,0.0001048,0.00001723
01/12/2019,12990000000000,25890000000,1768000000,176200000,19210000,2187000,257600,31330,3930,508.1,67.65,9.27,1.307,0.1894,0.0282,0.004312,0.0006766,0.0001089,0.00001797
01/01/2020,11080000000000,22560000000,1639000000,158100000,16280000,1742000,192900,22050,2603,316.9,39.78,5.143,0.6846,0.09376,0.0132,0.001911,0.000284,0.00004333,0.000006783
01/02/2020,12860000000000,24050000000,1656000000,163500000,17570000,1970000,228500,27360,3381,430.5,56.48,7.629,1.06,0.1515,0.02224,0.003355,0.0005193,0.00008249,0.00001343
01/03/2020,12670000000000,25160000000,1693000000,165100000,17580000,1953000,224600,26670,3268,412.7,53.72,7.198,0.9925,0.1407,0.02051,0.00307,0.0004717,0.00007438,0.00001203
01/04/2020,12300000000000,26040000000,1737000000,171400000,18550000,2099000,245800,29710,3706,476.4,63.08,8.597,1.205,0.1738,0.02574,0.003915,0.0006113,0.0000979,0.00001608
01/05/2020,11600000000000,25350000000,1712000000,171100000,18760000,2150000,255100,31230,3944,513.3,68.79,9.488,1.346,0.1963,0.02941,0.004524,0.0007143,0.0001157,0.0000192
01/06/2020,10590000000000,23510000000,1628000000,163700000,17980000,2061000,244400,29930,3778,491.6,65.87,9.084,1.288,0.1879,0.02814,0.004328,0.0006832,0.0001106,0.00001836
01/07/2020,10170000000000,22090000000,1502000000,143200000,14750000,1582000,175700,20150,2386,291.4,36.68,4.757,0.635,0.08722,0.01232,0.001788,0.0002664,0.00004076,0.000006398
01/08/2020,10430000000000,22500000000,1496000000,138900000,13930000,1455000,157400,17590,2030,241.7,29.68,3.755,0.4893,0.06562,0.009051,0.001283,0.000187,0.00002796,0.000004293
01/09/2020,9888000000000,25940000000,1844000000,192700000,22080000,2642000,327100,41770,5498,745.2,104,14.92,2.201,0.3336,0.05192,0.008293,0.001358,0.0002281,0.00003925
01/10/2020,11100000000000,28000000000,1990000000,214000000,25400000,3150000,404000,53500,7310,1030,148,22,3.36,0.527,0.0848,0.014,0.00237,0.00041,0.0000729
01/11/2020,12000000000000,28500000000,2130000000,243000000,30900000,4100000,564000,80000,11700,1750,270,42.7,6.94,1.16,0.198,0.0347,0.00623,0.00115,0.000215
01/12/2020,13300000000000,26400000000,2060000000,252000000,34500000,4960000,736000,112000,17700,2850,473,80.4,14,2.51,0.459,0.0861,0.0165,0.00324,0.000651
01/01/2021,13200000000000,24500000000,1800000000,195000000,22900000,2830000,360000,47200,6380,888,127,18.7,2.84,0.441,0.0703,0.0115,0.00193,0.000332,0.0000585
01/02/2021,12900000000000,24200000000,1690000000,171000000,18700000,2130000,252000,30700,3870,501,66.9,9.19,1.3,0.189,0.0282,0.00432,0.000679,0.00011,0.0000181
01/03/2021,11400000000000,26300000000,1980000000,227000000,28800000,3820000,526000,74500,10900,1630,251,39.7,6.46,1.08,0.184,0.0323,0.00579,0.00106,0.0002
01/04/2021,12100000000000,26500000000,1850000000,193000000,22300000,2690000,337000,43400,5760,787,111,16,2.39,0.364,0.0572,0.0092,0.00152,0.000257,0.0000446
01/05/2021,11600000000000,25700000000,1800000000,188000000,21700000,2620000,327000,42100,5590,763,107,15.5,2.31,0.352,0.0552,0.00888,0.00147,0.000248,0.0000429
01/06/2021,11200000000000,23500000000,1690000000,179000000,20900000,2530000,318000,41300,5510,758,107,15.6,2.34,0.359,0.0566,0.00916,0.00152,0.000259,0.0000451
01/07/2021,10100000000000,22600000000,1740000000,200000000,25200000,3330000,455000,63900,9260,1380,211,33.1,5.35,0.886,0.15,0.0262,0.00467,0.000852,0.000159
01/08/2021,10300000000000,22900000000,1650000000,169000000,18700000,2170000,259000,32000,4070,534,72.2,10,1.43,0.211,0.0318,0.00493,0.000784,0.000128,0.0000214
01/09/2021,10900000000000,25500000000,1870000000,204000000,24500000,3070000,398000,53200,7310,1040,151,22.6,3.47,0.549,0.0889,0.0148,0.00252,0.00044,0.0000787
01/10/2021,11000000000000,28800000000,2290000000,287000000,40500000,6000000,918000,145000,23400,3900,665,117,20.9,3.84,0.724,0.139,0.0275,0.00554,0.00114
01/11/2021,12000000000000,29000000000,2320000000,297000000,42900000,6530000,1030000,166000,27700,4730,828,149,27.4,5.16,0.996,0.197,0.0397,0.0082,0.00173
01/12/2021,11700000000000,28000000000,2380000000,317000000,47500000,7490000,1220000,204000,35000,6170,1120,207,39.2,7.61,1.51,0.307,0.0639,0.0136,0.00294
01/01/2022,12200000000000,26000000000,2280000000,311000000,47500000,7590000,1250000,213000,37200,6640,1220,229,44,8.67,1.75,0.36,0.0758,0.0163,0.00358
01/02/2022,12800000000000,25800000000,2320000000,333000000,53900000,9150000,1610000,289000,53500,10100,1970,391,79.5,16.5,3.52,0.764,0.17,0.0384,0.00887
01/03/2022,12500000000000,27100000000,2340000000,316000000,47400000,7460000,1210000,202000,34600,6090,1100,203,38.4,7.44,1.48,0.299,0.062,0.0131,0.00284
01/04/2022,11600000000000,30200000000,3080000000,548000000,115000000,25800000,6010000,1440000,352000,88000,22500,5840,1550,418,115,32.3,9.2,2.67,0.787
