Date,"Temperature, K (100 km)","Temperature, K (150 km)","Temperature, K (200 km)","Temperature, K (250 km)","Temperature, K (300 km)","Temperature, K (350 km)","Temperature, K (400 km)","Temperature, K (450 km)","Temperature, K (500 km)","Temperature, K (550 km)","Temperature, K (600 km)","Temperature, K (650 km)","Temperature, K (700 km)","Temperature, K (750 km)2","Temperature, K (800 km)","Temperature, K (850 km)","Temperature, K (900 km)","Temperature, K (500 km)2","Temperature, K (1000 km)"
01/11/2018,191.2,551.1,661.5,682.6,686.7,687.6,687.7,687.8,687.8,687.8,687.8,687.8,687.8,687.8,687.8,687.8,687.8,687.8,687.8
01/12/2018,183.1,558.5,667.5,688.1,692.1,692.9,693,693.1,693.1,693.1,693.1,693.1,693.1,693.1,693.1,693.1,693.1,693.1,693.1
01/01/2019,159.5,577.8,661,672.8,674.6,674.8,674.9,674.9,674.9,674.9,674.9,674.9,674.9,674.9,674.9,674.9,674.9,674.9,674.9
01/02/2019,185.3,568.3,679.8,701.3,705.5,706.4,706.5,706.6,706.6,706.6,706.6,706.6,706.6,706.6,706.6,706.6,706.6,706.6,706.6
01/03/2019,199.1,569,688.3,712.8,718,719.1,719.3,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4,719.4
01/04/2019,193.8,553.8,665.8,687.3,691.5,692.3,692.5,692.5,692.5,692.5,692.5,692.5,692.5,692.5,692.5,692.5,692.5,692.5,692.5
01/05/2019,199.1,561.5,679.6,703.4,708.3,709.4,709.6,709.7,709.7,709.7,709.7,709.7,709.7,709.7,709.7,709.7,709.7,709.7,709.7
01/06/2019,181.5,553.5,654.1,671.5,674.6,675.1,675.2,675.2,675.2,675.2,675.2,675.2,675.2,675.2,675.2,675.2,675.2,675.2,675.2
01/07/2019,182.4,558.6,654.5,670.3,673,673.5,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6
01/08/2019,183.9,552.8,643.6,657.8,660.1,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5,660.5
01/09/2019,216.4,570,687.8,711.8,716.8,717.9,718.1,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2,718.2
01/10/2019,203.1,553.5,665.9,687.8,692.2,693.1,693.3,693.3,693.3,693.3,693.3,693.3,693.3,693.3,693.3,693.3,693.3,693.3,693.3
01/11/2019,188.5,549.4,659.1,680,684.1,684.9,685.1,685.1,685.1,685.1,685.1,685.1,685.1,685.1,685.1,685.1,685.1,685.1,685.1
01/12/2019,179.3,555.7,662.3,681.9,685.6,686.3,686.5,686.5,686.5,686.5,686.5,686.5,686.5,686.5,686.5,686.5,686.5,686.5,686.5
01/01/2020,156.9,574.4,654.3,665.2,666.7,666.9,667,667,667,667,667,667,667,667,667,667,667,667,667
01/02/2020,176,558.3,659.8,677.6,680.8,681.4,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5,681.5
01/03/2020,185.1,552.7,656.2,674.7,678.1,678.7,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8,678.8
01/04/2020,192.2,549.9,659.1,679.7,683.6,684.4,684.6,684.6,684.6,684.6,684.6,684.6,684.6,684.6,684.6,684.6,684.6,684.6,684.6
01/05/2020,190.6,552.6,662.8,683.7,687.7,688.5,688.7,688.7,688.8,688.8,688.8,688.8,688.8,688.8,688.8,688.8,688.8,688.8,688.8
01/06/2020,184.9,558.9,664.9,684.2,687.8,688.5,688.7,688.7,688.7,688.7,688.7,688.7,688.7,688.7,688.7,688.7,688.7,688.7,688.7
01/07/2020,178.3,556.6,650.2,665,667.5,667.9,667.9,668,668,668,668,668,668,668,668,668,668,668,668
01/08/2020,178.3,551.9,643.2,657.3,659.6,659.9,660,660,660,660,660,660,660,660,660,660,660,660,660
01/09/2020,203.3,564.2,676.2,697.6,701.8,702.6,702.8,702.8,702.8,702.8,702.8,702.8,702.8,702.8,702.8,702.8,702.8,702.8,702.8
01/10/2020,202.7,562.6,683.9,708.8,714.1,715.2,715.5,715.6,715.6,715.6,715.6,715.6,715.6,715.6,715.6,715.6,715.6,715.6,715.6
01/11/2020,195.7,573.1,703.7,732.1,738.5,739.9,740.2,740.3,740.3,740.3,740.3,740.3,740.3,740.3,740.3,740.3,740.3,740.3,740.3
01/12/2020,176.1,584.5,726.3,759.6,767.6,769.5,770,770.1,770.2,770.2,770.2,770.2,770.2,770.2,770.2,770.2,770.2,770.2,770.2
01/01/2021,171,572.5,685.8,707.1,711.3,712.1,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3,712.3
01/02/2021,175.1,562.1,665.4,683.4,686.7,687.3,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4
01/03/2021,200.3,576.1,704.1,732.1,738.4,739.8,740.1,740.2,740.2,740.2,740.2,740.2,740.2,740.2,740.2,740.2,740.2,740.2,740.2
01/04/2021,195,559.1,676.5,699.8,704.6,705.6,705.8,705.9,705.9,705.9,705.9,705.9,705.9,705.9,705.9,705.9,705.9,705.9,705.9
01/05/2021,191,560,676.7,699.7,704.4,705.3,705.5,705.6,705.6,705.6,705.6,705.6,705.6,705.6,705.6,705.6,705.6,705.6,705.6
01/06/2021,178.2,566.4,680.8,702.6,706.9,707.7,707.9,707.9,707.9,707.9,707.9,707.9,707.9,707.9,707.9,707.9,707.9,707.9,707.9
01/07/2021,179.6,582,705.4,730.7,735.9,737.1,737.3,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4
01/08/2021,178.9,567.6,670.5,687.8,690.8,691.4,691.4,691.5,691.5,691.5,691.5,691.5,691.5,691.5,691.5,691.5,691.5,691.5,691.5
01/09/2021,189,570.7,689.5,712.7,717.3,718.3,718.5,718.5,718.5,718.5,718.5,718.5,718.5,718.5,718.5,718.5,718.5,718.5,718.5
01/10/2021,204.9,587.4,735.5,771.2,780,782.2,782.8,782.9,783,783,783,783,783,783,783,783,783,783,783
01/11/2021,196.5,589.2,742.7,781.3,791.1,793.7,794.4,794.6,794.7,794.7,794.7,794.7,794.7,794.7,794.7,794.7,794.7,794.7,794.7
01/12/2021,193.6,604.7,758.6,796.4,805.9,808.3,808.9,809.1,809.2,809.2,809.2,809.2,809.2,809.2,809.2,809.2,809.2,809.2,809.2
01/01/2022,180.8,613.6,767.2,804,813,815.3,815.8,816,816,816,816,816,816,816,816,816,816,816,816
01/02/2022,176.6,621,787.3,829.5,840.5,843.4,844.1,844.4,844.4,844.4,844.4,844.4,844.4,844.4,844.4,844.4,844.4,844.4,844.4
01/03/2022,186.6,610,762.3,797.3,805.4,807.4,807.9,808,808,808,808,808,808,808,808,808,808,808,808
01/04/2022,202.9,656.9,890.7,970.4,998.1,1007.8,1011.3,1012.6,1013,1013.2,1013.3,1013.3,1013.3,1013.3,1013.3,1013.3,1013.3,1013.3,1013.3
